Time resolution is 1 ps
PC: xxxxxxxx, IF/ID.Instr: xxxxxxxx, ID/EX.Instr: xxxxxxxx
PC: 00000000, IF/ID.Instr: 00000000, ID/EX.Instr: e04f000f
PC: 00000000, IF/ID.Instr: 00000000, ID/EX.Instr: e04f000f
PC: 00000004, IF/ID.Instr: 00000000, ID/EX.Instr: e2802005
PC: 00000008, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000000c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000010, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000014, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000018, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000001c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000020, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000024, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000028, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000002c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000030, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000034, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000038, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000003c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000040, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000044, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000048, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000004c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000050, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000054, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
